name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
vizabi,Vizabi is a framework for building visual data exploration tools freely provided by @Gapminder,https://avatars.githubusercontent.com/u/20951922?v=4,https://github.com/vizabi/vizabi,273,2014-06-03T08:14:17Z,2024-05-08T09:43:52Z,2023-11-22T11:00:55Z
WebCola,Javascript constraint-based graph layout,https://avatars.githubusercontent.com/u/2754673?v=4,https://github.com/tgdwyer/WebCola,2002,2013-07-10T05:42:18Z,2024-08-12T17:25:20Z,2023-07-19T00:21:04Z
xkcdgraphs,Instant XKCD-style Graphs created in Javascript D3 for your enjoyment,https://avatars.githubusercontent.com/u/644634?v=4,https://github.com/imkevinxu/xkcdgraphs,442,2012-12-08T19:25:04Z,2024-04-08T06:44:17Z,2017-10-28T03:59:28Z
layercake,graphics framework for sveltejs,https://avatars.githubusercontent.com/u/498744?v=4,https://github.com/mhkeller/layercake,1327,2018-07-17T06:49:33Z,2024-08-17T13:15:53Z,2024-08-15T09:18:59Z
nivo,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and React libraries",https://avatars.githubusercontent.com/u/501642?v=4,https://github.com/plouc/nivo,13012,2016-04-16T03:27:56Z,2024-08-17T22:07:12Z,2024-08-15T22:24:34Z
ngx-charts,:bar_chart: Declarative Charting Framework for Angular,https://avatars.githubusercontent.com/u/10552812?v=4,https://github.com/swimlane/ngx-charts,4284,2016-07-22T15:58:41Z,2024-08-02T15:56:24Z,2024-07-10T06:15:26Z
potion,"React components for declaratively composing animated, interactive visualizations.",https://avatars.githubusercontent.com/u/4628721?v=4,https://github.com/finnfiddle/potion,184,2017-01-12T22:24:36Z,2024-04-20T17:56:26Z,2018-04-19T19:32:18Z
react-d3-components,D3 Components for React,https://avatars.githubusercontent.com/u/5276006?v=4,https://github.com/codesuki/react-d3-components,1626,2015-02-06T01:28:27Z,2024-07-30T08:39:27Z,2022-01-11T11:39:52Z
react-d3-library,Open source library for using D3 in React,https://avatars.githubusercontent.com/u/19215124?v=4,https://github.com/react-d3-library/react-d3-library,1522,2016-05-05T23:08:31Z,2024-08-14T13:55:21Z,2021-03-04T22:07:06Z
react-stockcharts,Highly customizable stock charts with ReactJS and d3,https://avatars.githubusercontent.com/u/10691183?v=4,https://github.com/rrag/react-stockcharts,3855,2015-02-22T14:34:39Z,2024-08-18T04:54:22Z,2023-03-09T04:15:58Z
react-vis,Data Visualization Components,https://avatars.githubusercontent.com/u/538264?v=4,https://github.com/uber/react-vis,8709,2016-02-22T20:45:50Z,2024-08-16T03:13:09Z,2023-10-31T06:52:42Z
